16 Apr 2026 18:12:56,070  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 13ms, missed-hit: All: 31328-115070, J: 124-22; DC: 27-69; E: 950-1387; JE: 51-10; IC: 35-55; RS: 11-5; AH: 0-0; Q: 353-485; TT: 112-12; TL: 4467-19805; UC: 780-14907; HP: 0-0; PL: 141-160; PN: 12-26; IL: 22149-73493; QL: 162-297; NL: 1954-4337
16 Apr 2026 18:19:00,693  INFO AllocatedBytesLogger - PID 91: 685,8 MB, Thread RMI:Question.view, TID - (91), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 35202-98382, J: 124-108; DC: 51-72; E: 1643-1841; JE: 147-102; IC: 42-23; RS: 11-2; AH: 0-0; Q: 267-412; TT: 17-15; TL: 3173-11761; UC: 992-11424; HP: 8-12; PL: 237-252; PN: 19-92; IL: 26121-64922; QL: 227-299; NL: 2123-7045
16 Apr 2026 18:19:00,696  INFO AllocatedBytesLogger - Exceeded: sum: 685,8 MB, 			missed-hit: All: 35202-98382, J: 124-108; DC: 51-72; E: 1643-1841; JE: 147-102; IC: 42-23; RS: 11-2; AH: 0-0; Q: 267-412; TT: 17-15; TL: 3173-11761; UC: 992-11424; HP: 8-12; PL: 237-252; PN: 19-92; IL: 26121-64922; QL: 227-299; NL: 2123-7045
16 Apr 2026 18:19:00,697  INFO AllocatedBytesLogger - Total: sum: 692,6 MB, elapsed 6ms, missed-hit: All: 40688-128629, J: 181-128; DC: 53-77; E: 1918-2186; JE: 181-105; IC: 43-39; RS: 12-4; AH: 0-0; Q: 333-489; TT: 18-17; TL: 3982-14223; UC: 1174-15627; HP: 8-12; PL: 334-2878; PN: 41-117; IL: 29511-83819; QL: 247-342; NL: 2652-8566
16 Apr 2026 18:28:44,682  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15860-55477, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-160; TT: 2-5; TL: 2593-14509; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11658-33593; QL: 61-120; NL: 637-1204
16 Apr 2026 18:28:44,690  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15860-55477, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-160; TT: 2-5; TL: 2593-14509; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11658-33593; QL: 61-120; NL: 637-1204
16 Apr 2026 18:28:44,691  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 30ms, missed-hit: All: 30455-114168, J: 124-22; DC: 27-69; E: 954-1385; JE: 51-10; IC: 36-59; RS: 11-5; AH: 0-0; Q: 357-477; TT: 115-15; TL: 4434-18866; UC: 780-15515; HP: 0-0; PL: 101-108; PN: 8-22; IL: 21371-73109; QL: 151-276; NL: 1935-4230
16 Apr 2026 18:30:15,298  INFO AllocatedBytesLogger - PID 88: 0 B, Thread RMI:TestingSession.view, TID - (88), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 46626-164320, J: 163-117; DC: 55-189; E: 2071-2692; JE: 185-228; IC: 53-136; RS: 16-22; AH: 0-0; Q: 363-936; TT: 20-50; TL: 5020-27249; UC: 1199-21220; HP: 8-12; PL: 609-638; PN: 91-256; IL: 33199-99563; QL: 276-404; NL: 3298-10608
16 Apr 2026 18:30:15,299  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 46626-164320, J: 163-117; DC: 55-189; E: 2071-2692; JE: 185-228; IC: 53-136; RS: 16-22; AH: 0-0; Q: 363-936; TT: 20-50; TL: 5020-27249; UC: 1199-21220; HP: 8-12; PL: 609-638; PN: 91-256; IL: 33199-99563; QL: 276-404; NL: 3298-10608
16 Apr 2026 18:30:15,301  INFO AllocatedBytesLogger - Total: sum: 16,5 MB, elapsed 8ms, missed-hit: All: 54227-224399, J: 212-162; DC: 71-189; E: 2199-3143; JE: 223-234; IC: 56-179; RS: 20-31; AH: 0-0; Q: 532-1083; TT: 56-62; TL: 6430-32543; UC: 1278-28894; HP: 8-12; PL: 717-2516; PN: 100-266; IL: 38070-140975; QL: 436-662; NL: 3819-13448
16 Apr 2026 19:10:46,006  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15842-55074, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-160; TT: 2-3; TL: 2593-14169; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11640-33532; QL: 61-120; NL: 637-1204
16 Apr 2026 19:10:46,008  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15842-55074, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-160; TT: 2-3; TL: 2593-14169; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11640-33532; QL: 61-120; NL: 637-1204
16 Apr 2026 19:10:46,010  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 17ms, missed-hit: All: 31049-112511, J: 124-22; DC: 27-69; E: 946-1384; JE: 51-10; IC: 34-54; RS: 11-5; AH: 0-0; Q: 351-488; TT: 112-10; TL: 4475-19278; UC: 780-14178; HP: 0-0; PL: 131-147; PN: 11-25; IL: 21899-72260; QL: 157-291; NL: 1940-4290
16 Apr 2026 19:12:19,249  INFO AllocatedBytesLogger - PID 90: 0 B, Thread RMI:navigator, TID - (90), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 43481-147815, J: 165-113; DC: 55-72; E: 2084-2317; JE: 179-122; IC: 53-56; RS: 16-5; AH: 0-0; Q: 364-570; TT: 18-22; TL: 4524-26304; UC: 1202-19214; HP: 8-12; PL: 609-638; PN: 91-256; IL: 31162-89315; QL: 273-405; NL: 2678-8394
16 Apr 2026 19:12:19,250  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 43481-147815, J: 165-113; DC: 55-72; E: 2084-2317; JE: 179-122; IC: 53-56; RS: 16-5; AH: 0-0; Q: 364-570; TT: 18-22; TL: 4524-26304; UC: 1202-19214; HP: 8-12; PL: 609-638; PN: 91-256; IL: 31162-89315; QL: 273-405; NL: 2678-8394
16 Apr 2026 19:12:19,266  INFO AllocatedBytesLogger - Total: sum: 10,9 MB, elapsed 24ms, missed-hit: All: 55596-219684, J: 257-134; DC: 67-77; E: 2472-2817; JE: 194-123; IC: 59-84; RS: 19-9; AH: 0-0; Q: 616-733; TT: 60-41; TL: 6910-35020; UC: 1423-26980; HP: 8-12; PL: 743-3357; PN: 124-293; IL: 38407-137018; QL: 483-750; NL: 3754-12236
16 Apr 2026 20:39:34,370  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15836-55413, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-158; TT: 2-5; TL: 2593-14494; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11636-33550; QL: 61-120; NL: 635-1200
16 Apr 2026 20:39:34,371  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15836-55413, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-158; TT: 2-5; TL: 2593-14494; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11636-33550; QL: 61-120; NL: 635-1200
16 Apr 2026 20:39:34,372  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 18ms, missed-hit: All: 30431-111305, J: 125-22; DC: 28-68; E: 946-1386; JE: 51-10; IC: 34-54; RS: 11-5; AH: 0-0; Q: 352-476; TT: 112-12; TL: 4453-18986; UC: 780-14180; HP: 0-0; PL: 102-109; PN: 8-22; IL: 21369-71528; QL: 154-279; NL: 1906-4168
16 Apr 2026 20:44:06,302  INFO AllocatedBytesLogger - PID 90: 668,0 MB, Thread RMI TCP Connection(idle), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 35073-97843, J: 124-108; DC: 51-72; E: 1643-1826; JE: 147-102; IC: 42-23; RS: 11-2; AH: 0-0; Q: 267-410; TT: 17-15; TL: 3060-11427; UC: 992-11398; HP: 8-12; PL: 237-252; PN: 19-92; IL: 26104-64803; QL: 228-299; NL: 2123-7002
16 Apr 2026 20:44:06,308  INFO AllocatedBytesLogger - Exceeded: sum: 668,0 MB, 			missed-hit: All: 35073-97843, J: 124-108; DC: 51-72; E: 1643-1826; JE: 147-102; IC: 42-23; RS: 11-2; AH: 0-0; Q: 267-410; TT: 17-15; TL: 3060-11427; UC: 992-11398; HP: 8-12; PL: 237-252; PN: 19-92; IL: 26104-64803; QL: 228-299; NL: 2123-7002
16 Apr 2026 20:44:06,308  INFO AllocatedBytesLogger - Total: sum: 687,0 MB, elapsed 7ms, missed-hit: All: 35866-108004, J: 127-109; DC: 52-72; E: 1657-1860; JE: 147-102; IC: 44-35; RS: 13-4; AH: 0-0; Q: 283-435; TT: 19-18; TL: 3213-12149; UC: 994-14604; HP: 8-12; PL: 250-265; PN: 24-97; IL: 26606-70581; QL: 246-322; NL: 2183-7339
16 Apr 2026 21:24:42,762  INFO AllocatedBytesLogger - PID 85: 362,2 MB, Thread pool-9-taskRunner-pool-5, Comp. system, User system, Roles system, missed-hit: All: 55782-156172, J: 746-128; DC: 3-0; E: 3709-5448; JE: 362-162; IC: 48-6; RS: 2-1; AH: 0-0; Q: 458-318; TT: 19-46; TL: 8452-20353; UC: 2122-9806; HP: 16-65; PL: 1679-1996; PN: 228-443; IL: 33766-105986; QL: 142-212; NL: 4030-11202
16 Apr 2026 21:24:42,765  INFO AllocatedBytesLogger - Exceeded: sum: 362,2 MB, 			missed-hit: All: 55782-156172, J: 746-128; DC: 3-0; E: 3709-5448; JE: 362-162; IC: 48-6; RS: 2-1; AH: 0-0; Q: 458-318; TT: 19-46; TL: 8452-20353; UC: 2122-9806; HP: 16-65; PL: 1679-1996; PN: 228-443; IL: 33766-105986; QL: 142-212; NL: 4030-11202
16 Apr 2026 21:24:42,766  INFO AllocatedBytesLogger - Total: sum: 365,4 MB, elapsed 5ms, missed-hit: All: 55799-156264, J: 746-128; DC: 3-0; E: 3709-5454; JE: 362-162; IC: 48-6; RS: 2-1; AH: 0-0; Q: 458-321; TT: 19-46; TL: 8452-20353; UC: 2122-9806; HP: 16-65; PL: 1679-1996; PN: 228-443; IL: 33783-106057; QL: 142-212; NL: 4030-11214
16 Apr 2026 22:18:55,296  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 18132-67012, J: 9-6; DC: 4-0; E: 417-700; JE: 0-0; IC: 39-24; RS: 11-3; AH: 0-0; Q: 169-169; TT: 13-3; TL: 2992-14984; UC: 515-8759; HP: 0-0; PL: 41-48; PN: 2-2; IL: 13068-40611; QL: 72-135; NL: 780-1568
16 Apr 2026 22:18:55,315  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 18132-67012, J: 9-6; DC: 4-0; E: 417-700; JE: 0-0; IC: 39-24; RS: 11-3; AH: 0-0; Q: 169-169; TT: 13-3; TL: 2992-14984; UC: 515-8759; HP: 0-0; PL: 41-48; PN: 2-2; IL: 13068-40611; QL: 72-135; NL: 780-1568
16 Apr 2026 22:18:55,346  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 121ms, missed-hit: All: 32112-122330, J: 131-22; DC: 27-69; E: 1065-1473; JE: 51-10; IC: 48-66; RS: 14-6; AH: 0-0; Q: 380-478; TT: 122-9; TL: 4823-18868; UC: 868-18098; HP: 0-0; PL: 107-116; PN: 8-22; IL: 22251-78333; QL: 152-274; NL: 2065-4486
16 Apr 2026 22:20:25,015  INFO AllocatedBytesLogger - PID 90: 0 B, Thread RMI:Discipline.view, TID - (90), Comp. 192.168.65.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 43671-149445, J: 163-111; DC: 55-76; E: 2093-2342; JE: 178-125; IC: 53-84; RS: 17-8; AH: 0-0; Q: 373-594; TT: 12-19; TL: 4563-26263; UC: 1208-19287; HP: 8-12; PL: 472-501; PN: 80-209; IL: 31339-90369; QL: 291-429; NL: 2766-9016
16 Apr 2026 22:20:25,016  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 43671-149445, J: 163-111; DC: 55-76; E: 2093-2342; JE: 178-125; IC: 53-84; RS: 17-8; AH: 0-0; Q: 373-594; TT: 12-19; TL: 4563-26263; UC: 1208-19287; HP: 8-12; PL: 472-501; PN: 80-209; IL: 31339-90369; QL: 291-429; NL: 2766-9016
16 Apr 2026 22:20:25,021  INFO AllocatedBytesLogger - Total: sum: 15,9 MB, elapsed 8ms, missed-hit: All: 62021-250484, J: 290-176; DC: 72-81; E: 2778-3421; JE: 201-126; IC: 123-131; RS: 30-15; AH: 0-0; Q: 736-809; TT: 56-82; TL: 8024-37391; UC: 1546-31727; HP: 8-12; PL: 728-4753; PN: 138-284; IL: 42431-156198; QL: 525-786; NL: 4335-14492
