16 Apr 2026 16:29:26,056 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@62c30e17
16 Apr 2026 16:41:21,069 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,28), value : Интегрированные сист
16 Apr 2026 16:41:21,072 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,28)
16 Apr 2026 16:41:21,214 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,29), value : Интегрированные сис
16 Apr 2026 16:41:21,216 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,29)
16 Apr 2026 16:41:21,370 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,30), value : Интегрированные си
16 Apr 2026 16:41:21,372 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,30)
16 Apr 2026 16:41:21,670 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,31), value : Интегрированные с
16 Apr 2026 16:41:21,672 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,31)
16 Apr 2026 16:41:22,199 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,32), value : Интегрированные ср
16 Apr 2026 16:41:22,269 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,32)
16 Apr 2026 16:41:22,342 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,33), value : Интегрированные сре
16 Apr 2026 16:41:22,368 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,33)
16 Apr 2026 16:41:22,705 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,34), value : Интегрированные сред
16 Apr 2026 16:41:22,737 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,34)
16 Apr 2026 16:41:23,098 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,35), value : Интегрированные среды
16 Apr 2026 16:41:23,122 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,35)
16 Apr 2026 16:41:24,129 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,36), value : Интегрированные среды 
16 Apr 2026 16:41:24,171 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,36)
16 Apr 2026 16:41:24,322 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,37), value : Интегрированные среды р
16 Apr 2026 16:41:24,369 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,37)
16 Apr 2026 16:41:24,536 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,38), value : Интегрированные среды ра
16 Apr 2026 16:41:24,589 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,38)
16 Apr 2026 16:41:24,919 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,39), value : Интегрированные среды раз
16 Apr 2026 16:41:24,960 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,39)
16 Apr 2026 16:41:25,222 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,40), value : Интегрированные среды разр
16 Apr 2026 16:41:25,261 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,40)
